/* DATA DESCRIPTION:
Citation:	Meyerjürgens, Jens; Badewien, Thomas H; Zielinski, Oliver; Braun, Axel; Butter, Michael (2019): Track of GPS-Drifter North_Sea_Drifter3 in the German Bight, Southern North Sea. Institute for Chemistry and Biology of the Marine Environment, Carl-von-Ossietzky University of Oldenburg, Germany, PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.897991 (DOI registration in progress)
Abstract:	Drifter position data from drifter deployments in March and October 2017 im the German Bight. The drifters were deployed from RV Heincke and RV Senckenberg. The drifter position was send every 10 minutes via the Globalstar satellite transmission service. The drifters were 0.5 m in height with a subsurface drogue which is directly to the housing. The drag area ration of the deployed configuration is R=25.6.
Keyword(s):	Drifters; German Bight; North Sea
Coverage:	MEDIAN LATITUDE: 54.147052 * MEDIAN LONGITUDE: 8.363903 * SOUTH-BOUND LATITUDE: 53.759720 * WEST-BOUND LONGITUDE: 7.601750 * NORTH-BOUND LATITUDE: 54.350030 * EAST-BOUND LONGITUDE: 8.739170
	DATE/TIME START: 2017-03-14T13:17:05 * DATE/TIME END: 2017-04-05T20:57:07
Event(s):	North_Sea_Drifter3 * LATITUDE START: 53.759720 * LONGITUDE START: 7.650820 * LATITUDE END: 54.246010 * LONGITUDE END: 8.738180 * DATE/TIME START: 2017-03-14T13:17:05 * DATE/TIME END: 2017-04-05T20:57:07 * LOCATION: North Sea * DEVICE: ICBM-Drifter (DRIFTERICBM) (URI: hdl:10013/epic.50618.d001)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Meyerjürgens, Jens (https://orcid.org/0000-0002-7990-9545, jens.meyerjuergens@uni-oldenburg.de) * COMMENT: UTC
	LATITUDE (Latitude) * GEOCODE * PI: Meyerjürgens, Jens (https://orcid.org/0000-0002-7990-9545, jens.meyerjuergens@uni-oldenburg.de) * METHOD: GPS receiver mounted on ICBM-Drifter (URI: hdl:10013/epic.50618.d001)
	LONGITUDE (Longitude) * GEOCODE * PI: Meyerjürgens, Jens (https://orcid.org/0000-0002-7990-9545, jens.meyerjuergens@uni-oldenburg.de) * METHOD: GPS receiver mounted on ICBM-Drifter (URI: hdl:10013/epic.50618.d001)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	0 data points
*/
Date/Time	Latitude	Longitude
2017-03-14T13:17	53.75972	7.65082
2017-03-14T13:27	53.76573	7.64661
2017-03-14T13:37	53.77208	7.64438
2017-03-14T13:47	53.77737	7.64339
2017-03-14T13:57	53.78185	7.64367
2017-03-14T14:26	53.79339	7.64603
2017-03-14T14:36	53.79699	7.64646
2017-03-14T14:46	53.79965	7.64612
2017-03-14T14:56	53.80170	7.64565
2017-03-14T15:06	53.80329	7.64479
2017-03-14T15:18	53.80454	7.64398
2017-03-14T15:28	53.80583	7.64286
2017-03-14T15:36	53.80661	7.64191
2017-03-14T15:46	53.80767	7.64045
2017-03-14T15:56	53.80879	7.63891
2017-03-14T16:06	53.80986	7.63713
2017-03-14T16:16	53.81070	7.63522
2017-03-14T16:26	53.81182	7.63292
2017-03-14T16:38	53.81290	7.63020
2017-03-14T16:46	53.81360	7.62807
2017-03-14T16:56	53.81435	7.62546
2017-03-14T17:06	53.81483	7.62282
2017-03-14T17:16	53.81530	7.62007
2017-03-14T17:27	53.81564	7.61739
2017-03-14T17:37	53.81611	7.61430
2017-03-14T17:46	53.81631	7.61222
2017-03-14T18:36	53.81695	7.60290
2017-03-14T18:46	53.81692	7.60192
2017-03-14T18:56	53.81688	7.60175
2017-03-14T19:06	53.81683	7.60185
2017-03-14T19:16	53.81669	7.60264
2017-03-14T19:26	53.81665	7.60410
2017-03-14T19:36	53.81661	7.60659
2017-03-14T19:46	53.81653	7.61007
2017-03-14T19:55	53.81643	7.61612
2017-03-14T20:05	53.81643	7.62084
2017-03-14T20:15	53.81630	7.62805
2017-03-14T20:35	53.81653	7.64511
2017-03-14T20:46	53.81669	7.65520
2017-03-14T21:05	53.81633	7.67479
2017-03-14T21:15	53.81642	7.68097
2017-03-14T21:25	53.81633	7.68972
2017-03-14T21:38	53.81615	7.69820
2017-03-14T21:48	53.81581	7.70824
2017-03-14T22:17	53.81522	7.72987
2017-03-14T22:35	53.81483	7.74216
2017-03-14T22:45	53.81477	7.74813
2017-03-14T22:55	53.81464	7.75422
2017-03-14T23:15	53.81407	7.76536
2017-03-14T23:26	53.81385	7.77102
2017-03-14T23:35	53.81379	7.77506
2017-03-14T23:45	53.81379	7.77952
2017-03-14T23:55	53.81386	7.78364
2017-03-15T00:08	53.81395	7.78866
2017-03-15T00:15	53.81407	7.79100
2017-03-15T00:35	53.81479	7.79656
2017-03-15T00:44	53.81526	7.79890
2017-03-15T00:54	53.81573	7.80087
2017-03-15T01:04	53.81641	7.80227
2017-03-15T01:14	53.81707	7.80317
2017-03-15T01:28	53.81807	7.80343
2017-03-15T01:34	53.81859	7.80304
2017-03-15T01:44	53.81939	7.80205
2017-03-15T01:54	53.82010	7.80055
2017-03-15T02:04	53.82080	7.79853
2017-03-15T02:44	53.82349	7.78438
2017-03-15T02:54	53.82422	7.77992
2017-03-15T03:04	53.82491	7.77529
2017-03-15T03:35	53.82631	7.75918
2017-03-15T03:46	53.82632	7.75358
2017-03-15T03:54	53.82625	7.74937
2017-03-15T04:24	53.82574	7.73500
2017-03-15T04:34	53.82555	7.73066
2017-03-15T04:44	53.82546	7.72594
2017-03-15T04:54	53.82537	7.72311
2017-03-15T05:04	53.82529	7.71950
2017-03-15T05:24	53.82528	7.71275
2017-03-15T05:36	53.82524	7.70950
2017-03-15T05:46	53.82520	7.70641
2017-03-15T05:56	53.82524	7.70281
2017-03-15T06:06	53.82552	7.69994
2017-03-15T06:24	53.82613	7.69556
2017-03-15T06:33	53.82658	7.69337
2017-03-15T06:43	53.82697	7.69174
2017-03-15T06:55	53.82751	7.69045
2017-03-15T07:05	53.82802	7.68951
2017-03-15T07:43	53.82918	7.69099
2017-03-15T08:03	53.82935	7.69700
2017-03-15T08:13	53.82933	7.69979
2017-03-15T08:23	53.82927	7.70481
2017-03-15T08:54	53.82897	7.72568
2017-03-15T09:03	53.82880	7.73410
2017-03-15T09:14	53.82854	7.74405
2017-03-15T09:33	53.82801	7.76027
2017-03-15T09:55	53.82735	7.77712
2017-03-15T10:03	53.82706	7.78506
2017-03-15T10:15	53.82666	7.79523
2017-03-15T10:23	53.82643	7.80174
2017-03-15T10:33	53.82604	7.80895
2017-03-15T10:43	53.82553	7.81564
2017-03-15T11:33	53.82313	7.84402
